suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.212,New sampling strategy mitigates a solar-geometry-induced bias in sub-kilometre vapour scaling statistics derived from imaging spectroscopy,Atmospheric Measurement Techniques,2022,10.5194/amt-15-117-2022,1,M. T. Richardson; D. Thompson; M. Kurowski; M. Lebsock
recommend,0.212,A Unified EDMF Boundary Layer and Shallow Convection Parameterization in GEOS5,,2016,,0,K. Suselj; J. Teixeira; A. Molod
recommend,0.212,Stochastic eddy-diffusivity/mass-flux parameterization for moist convective boundary layers,,2012,,0,K. Suselj; J. Teixeira
recommend,0.212,"A satellite and reanalysis view of cloud organization, thermodynamic, and dynamic variability within the subtropical marine boundary layer",,2017,10.5194/acp-2017-59,0,B. Kahn; G. Matheou; Q. Yue; T. Fauchez; E. Fetzer; M. Lebsock; J. Martins; M. Schreier; Kentaroh Suzuki; J. Teixeira
recommend,0.182,Detection and Tracking of Tropical Convective Storms Based on Globally Gridded Precipitation Measurements: Algorithm and Survey over the Tropics,,2021,10.1175/jamc-d-20-0171.1,10,Hanii Takahashi; M. Lebsock; Z. Luo; H. Masunaga; Cindy Wang
recommend,0.182,Boundary layer water vapour statistics from high-spatial-resolution spaceborne imaging spectroscopy,Atmospheric Measurement Techniques,2021,10.5194/amt-14-5555-2021,5,M. Richardson; D. Thompson; M. Kurowski; M. Lebsock
recommend,0.182,The Spiderweb Structure of Stratocumulus Clouds,Atmosphere,2020,10.3390/atmos11070730,2,G. Matheou; A. Davis; João Paulo Ramos Teixeira
recommend,0.182,Eddy-diffusivity/Mass-flux parameterization for boundary layer and shallow convection in the global NASA GEOS5 model,,2012,,0,K. Suselj; J. Teixeira
recommend,0.182,Breaking a turbulence parameterization: a comparison of a stochastic eddy diffusivity mass flux scheme to scale dependent statistics from coarse graining of a large eddy simulation,,2012,,0,K. Pressel; T. Schneider; J. Teixeira; K. Suselj
review,0.152,Tropical and Subtropical Cloud Transitions in Weather and Climate Prediction Models: The GCSS/WGNE Pacific Cross-Section Intercomparison (GPCI),,2011,10.1175/2011jcli3672.1,146,João Paulo Ramos Teixeira; S. Cardoso; S. Cardoso; M. Bonazzola; Jason C. Cole; A. Delgenio; C. DeMott; C. Franklin; C. Hannay; C. Jakob; Y. Jiao; J. Karlsson; H. Kitagawa; M. Köhler; A. Kuwano‐Yoshida; C. Ledrian; Jun Li; A. Lock; M. Miller; P. Marquet; J. Martins; C. Mechoso; E. Meijgaard; I. Meinke; P. Miranda; D. Mironov; R. Neggers; H. Pan; D. Randall; P. Rasch; B. Rockel; W. Rossow; B. Ritter; A. P. Siebesma; P. Soares; F. Turk; P. Vaillancourt; A. Engeln; Ming Zhao
review,0.152,Warm Rain Rates from AMSR-E 89-GHz Brightness Temperatures Trained Using CloudSat Rain-Rate Observations,Journal of Atmospheric and Oceanic Technology,2019,10.1175/jtech-d-18-0185.1,25,R. Eastman; M. Lebsock; R. Wood
review,0.152,Assessment of Two Stochastic Cloud Subcolumn Generators Using Observed Fields of Vertically Resolved Cloud Extinction,Journal of Atmospheric and Oceanic Technology,2022,10.1175/jtech-d-21-0166.1,5,L. Oreopoulos; N. Cho; Dongmin Lee; M. Lebsock; Zhibo Zhang
review,0.152,A New Multi-Plume Stochastic Eddy-Diffusivity/Mass-Flux Model: A Step Towards Unified Turbulence and Convection Parameterization,,2017,,0,K. Suselj
review,0.152,Eddy-Diffusivity/Mass-Flux and moist convective boundary layers,,2010,,0,K. Suselj
review,0.152,New sampling strategy removes imaging spectroscopy solar-smearing bias in sub-km vapour scaling statistics,,2021,10.5194/amt-2021-163,0,M. T. Richardson; D. Thompson; M. Kurowski; M. Lebsock
review,0.121,An Uncertainty Data Set for Passive Microwave Satellite Observations of Warm Cloud Liquid Water Path,Journal of Geophysical Research - Atmospheres,2018,10.1002/2017jd027638,38,T. Greenwald; R. Bennartz; M. Lebsock; J. Teixeira
review,0.121,Improving the Mellor–Yamada–Janjić Parameterization for wind conditions in the marine planetary boundary layer,,2010,10.1007/s10546-010-9502-3,37,K. Suselj; A. Sood
review,0.121,Atmospheric parameters in a subtropical cloud regime transition derived by AIRS and MODIS : observed statistical variability compared to ERA-Interim,,2013,10.5194/acp-14-3573-2014,13,M. Schreier; B. Kahn; K. Suselj; J. Karlsson; S. Ou; Q. Yue; S. Nasiri
review,0.121,The Spectral Nature of Earth’s Reflected Radiation: Measurement and Science Applications,Frontiers in Remote Sensing,2021,10.3389/frsen.2021.664291,13,G. Stephens; O. Kalashnikova; J. Gristey; P. Pilewskie; D. Thompson; Xianglei Huang; M. Lebsock; S. Schmidt
review,0.121,Synthetic Observations of the Planetary Boundary Layer from Space: A Retrieval Observing System Simulation Experiment Framework,Bulletin of The American Meteorological Society - (BAMS),2023,10.1175/bams-d-22-0129.1,8,M. Kurowski; João Paulo Ramos Teixeira; Chi O. Ao; S. Brown; A. Davis; Linda Forster; Kuo-Nung Wang; M. Lebsock; Mary Morris; Vivienne Payne; Mark T. Richardson; R. Roy; David Thompson; R. Wilson
review,0.121,A Lagrangian Analysis of Pockets of Open Cells over the Southeast Pacific,Atmospheric Chemistry and Physics,2021,10.5194/acp-2021-1001,8,K. Smalley; M. Lebsock; R. Eastman; M. Smalley; M. Witte
review,0.121,Vertical wind and drop size distribution retrieval with the CloudCube G-band Doppler radar,Atmospheric Measurement Techniques,2025,10.5194/amt-18-5141-2025,5,Nitika Yadlapalli Yurk; M. Lebsock; Juan M. Socuéllamos; Raquel Rodriguez Monje; Ken B. Cooper; P. Kollias
review,0.121,Eddy-diffusivity/mass-flux parameterization for boundary layer in the global NASA GEOS5 model,,2016,,0,K. Suselj; J. Teixeira; A. Molod
review,0.121,A New Stochastic Eddy-Diffusivity/Mass-Flux Model: A Step Towards Unified Parameterization,,2015,,0,K. Suselj
review,0.121,Optimizing EDMF parameterization for stratocumulus-topped boundary layer,,2014,,0,C. Jones; C. Bretherton; M. Witek; K. Suselj
review,0.121,"Improving Mellor-Yamada-Janjic boundary layer parameterization, case of marine atmospheric boundary layer",,2008,,0,K. Suselj
review,0.121,Scientific Applications of Multi-Angle Measurements to Reconstruct Earth’s Atmosphere through Tomography,Bulletin of The American Meteorological Society - (BAMS),2026,10.1175/bams-d-24-0293.1,0,Linda Forster; Mark T. Richardson; A. Davis; Mauricio Hess-Flores; Igor Yanovsky; J. Ryan; M. Lebsock; D. Posselt; F. Seidel; Chi O. Ao; Shannon T. Brown; D. Diner; E. Fishbein; L. Girolamo; M. Kurowski; Lukas Mandrake; C. E. Miller; N. Parazoo; Graeme Stephens; J. P. Teixeira; J. Hyon; M. Seablom
review,0.121,Infrared Instrument Radiance Modeling from Large Eddy Simulations to Access Sensitivity to Marine Planetary Boundary Layer Processes,,2019,,0,E. Fishbein; B. Lambrigtsen; M. Lebsock; G. Matheou; V. Payne; M. Schreier; J. Teixeira; R. C. Wilson
review,0.091,"Spaceborne Cloud and Precipitation Radars: Status, Challenges, and Ways Forward",Reviews of Geophysics,2020,10.1029/2019rg000686,139,A. Battaglia; P. Kollias; R. Dhillon; R. Roy; S. Tanelli; K. Lamer; M. Grecu; M. Lebsock; Daniel Watters; Kamil Mróz; G. Heymsfield; Lihua Li; K. Furukawa
review,0.091,Retrieving co‐occurring cloud and precipitation properties of warm marine boundary layer clouds with A‐Train data,,2016,10.1002/2015jd023681,32,G. Mace; S. Avey; S. Cooper; M. Lebsock; S. Tanelli; G. Dobrowalski
review,0.091,Marine liquid cloud geometric thickness retrieved from OCO-2's oxygen A-band spectrometer,Atmospheric Measurement Techniques,2019,10.5194/amt-12-1717-2019,24,M. Richardson; J. Leinonen; H. Cronk; J. McDuffie; M. Lebsock; G. Stephens
review,0.091,"Transitions of cloud‐topped marine boundary layers characterized by AIRS, MODIS, and a large eddy simulation model",,2013,10.1002/jgrd.50676,12,Q. Yue; Q. Yue; B. Kahn; H. Xiao; H. Xiao; M. Schreier; M. Schreier; E. Fetzer; João Paulo Ramos Teixeira; K. Suselj; K. Suselj
review,0.091,Dual-frequency (Ka-band and G-band) radar estimates of liquid water content profiles in shallow clouds,Atmospheric Measurement Techniques,2024,10.5194/amt-17-6965-2024,6,Juan M. Socuéllamos; Raquel Rodriguez Monje; M. Lebsock; Ken B. Cooper; P. Kollias
