#,title,authors,journal,year,doi,link
14,Cause of a lower-tropospheric high-ozone layer in spring over Hanoi,"Ogino, S.-Y., Miyazaki, K., Fujiwara, M., Nodzu, M. I., Shiotani, M., Hasebe, F., et al.",Journal of Geophysical Research: Atmospheres,2022,10.1029/2021JD035727,https://doi.org/10.1029/2021JD035727
15,Satellite measurements of peroxyacetyl nitrate from the Cross-Track Infrared Sounder: comparison with ATom aircraft measurements,"Payne, V. H., Kulawik, S. S., Fischer, E. V., Brewer, J. F., Huey, L. G., Miyazaki, K., Worden, J. R., Bowman, K. W., Hintsa, E. J., Moore, F., Elkins, J. W., and Juncosa Calahorrano, J.",Atmos. Meas. Tech.,2022,10.5194/amt-15-3497-2022,https://doi.org/10.5194/amt-15-3497-2022
16,A comparison of the impact of TROPOMI and OMI tropospheric NO2 on global chemical data assimilation,"Sekiya, T., Miyazaki, K., Eskes, H., Sudo, K., Takigawa, M., and Kanaya, Y.",Atmos. Meas. Tech.,2022,10.5194/amt-15-1703-2022,https://doi.org/10.5194/amt-15-1703-2022
17,"The carbon cycle of southeast Australia during 2019–2020: Drought, fires, and subsequent recovery","Byrne, B., Liu, J., Lee, M., Yin, Y., Bowman, K. W., Miyazaki, K., et al.",AGU Advances,2021,10.1029/2021AV000469,https://doi.org/10.1029/2021AV000469
18,Modeling the impact of COVID-19 on air quality in southern California: implications for future control policies,"Jiang, Z., Shi, H., Zhao, B., Gu, Y., Zhu, Y., Miyazaki, K., Lu, X., Zhang, Y., Bowman, K. W., Sekiya, T., and Liou, K.-N.",Atmos. Chem. Phys.,2021,10.5194/acp-21-8693-2021,https://doi.org/10.5194/acp-21-8693-2021
19,Societal shifts due to COVID-19 reveal large-scale complexities and feedbacks between atmospheric chemistry and climate change,"Laughner, J. L., J. L. Neu, D. Schimel, P. O. Wennberg, K. Barsanti, K. W. Bowman, A. Chatterjee, B. E. Croes, H. L. Fitzmaurice, D. K. Henze, J. Kim, E. A. Kort, Z. Liu, K. Miyazaki, A. Turner, S. Anenberg, J. Avise, H. Cao, D. Crisp, J. de Gouw, A. Eldering, J. C. Fyfe, D. L. Goldberg, K. R. Gurney, S. Hasheminassab, F. Hopkins, C. E. Ivey, D. B. A. Jones, J. Liu, N. S.Lovenduski, R. V. Martin, G. A. McKinley, L. Ott, B. Poulter, M. Ru, S. P. Sander, N. Swart, Y. L. Yung, Z.-C. Zeng",Proceedings of the National Academy of Sciences,2021,10.1073/pnas.2109481118,https://doi.org/10.1073/pnas.2109481118
20,Global tropospheric ozone responses to reduced NOx emissions linked to the COVID-19 world-wide lockdowns,"Miyazaki, K., K. Bowman, T. Sekiya, M. Takigawa, J. Neu, K. Sudo, G. Osterman, H. Eskes",Science Advances,2021,10.1126/sciadv.abf7460,https://doi.org/10.1126/sciadv.abf7460
21,"Long-term evaluation of atmospheric composition reanalyses from CAMS, TCR-2, and MERRA-2 over South Korea: Insights into applications, implications, and limitations","Ryu, Y. H., & Min, S. K.",Atmospheric Environment,2021,10.1016/j.atmosenv.2021.118062,https://doi.org/10.1016/j.atmosenv.2021.118062
22,Impacts of horizontal resolution on global data assimilation of satellite measurements for tropospheric chemistry analysis,"Sekiya, T., Miyazaki, K., Ogochi, K., Sudo, K., Takigawa, M., Eskes, H., & Boersma, K. F.",Journal of Advances in Modeling Earth Systems,2021,10.1029/2020MS002180,https://doi.org/10.1029/2020MS002180
23,"Intercomparison of Magnitudes and Trends in Anthropogenic Surface Emissions From Bottom‐Up Inventories, Top‐Down Estimates, and Emission Scenarios","Elguindi, N., Granier, C., Stavrakou, T., Darras, S., Bauwens, M., Cao, H., Chen, C., Denier van der Gon, H.A.C., Dubovik, O., Fu, T.M., Henze, D.K., Jiang, Z., Keita, S., Kuenen, J.J.P., Kurokawa, J., Liousse, C., Miyazaki, K., Müller, J.‐F., Qu, Z., Solmon, F. and Zheng, B.",Earth's Future,2020,10.1029/2020EF001520,https://doi.org/10.1029/2020EF001520
24,Correcting model biases of CO in East Asia: impact on oxidant distributions during KORUS-AQ,"Gaubert, B., Emmons, L. K., Raeder, K., Tilmes, S., Miyazaki, K., Arellano Jr., A. F., Elguindi, N., Granier, C., Tang, W., Barré, J., Worden, H. M., Buchholz, R. R., Edwards, D. P., Franke, P., Anderson, J. L., Saunois, M., Schroeder, J., Woo, J.-H., Simpson, I. J., Blake, D. R., Meinardi, S., Wennberg, P. O., Crounse, J., Teng, A., Kim, M., Dickerson, R. R., He, H., Ren, X., Pusede, S. E., and Diskin, G. S.",Atmos. Chem. Phys.,2020,10.5194/acp-20-14617-2020,https://doi.org/10.5194/acp-20-14617-2020
